LANG_CODE,పుస్తకం పేరు,బుక్ నేమ్,రచయిత,పబ్లిషర్,PLACE_OF_PUB,PAGINATION,ITEM_RUPEES,YEAR_OF_PUB,BINDING,ISBN,References
TEL,శ్రీ దాయశాతకము (మూడవ బాగం) 41-50,SRI DAYASATAKAMU (MUDAVA BAAGAM),VENKATANADHA,2 LAKSHMIPURAM,మద్రాస్,894,183,,,,https://manjulindia.com/telugu.html
TEL,గోరువంకలు,GORUVANKALU,BALAGANGADARA TILAK,42 TUDOR GARDEN STONEY STRET ROAD,UK,894,55,1952,,,https://manjulindia.com/telugu.html
TEL,శ్రుజ్ఞ రామజ్జరి భనహా,SRUGNA RAMAJJARIBHANAHA,GOPALARAYAKAVI JANAMPALLI,A ABDULLA,NEW DELHI,891,119,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ శ్రీ కవిత ప్రస్థానం,శ్రీ శ్రీ SRI SRI KAVITHA PRASTHANAM,రామమోహన్ RAMAMOHANRAO ADDEPALLI,A ANNAPURNA PURAMVANI ST,KAKINADA 2,894,113,,,,https://manjulindia.com/telugu.html
TEL,గోదావరి న ప్రతి బింబము,GODAVARI NA PRATHIBIMBAMU,రామమోహన్ RAMAMOHANRAO ADDEPALLI,A ANNAPURNA PURAVONI ST,KAKINADA 2,894,61,1959,,,https://manjulindia.com/telugu.html
TEL,హిష్టారికల్ అట్లాస్,HISHTARIKAL ATLAS,హనుమంతరావు HANUMANTARAO MUPPALLA,A B S PUBLISHERS,RAJAHMUNDRY,911,102,,,,https://manjulindia.com/telugu.html
TEL,బసవ రాజీయమ్,BASAVA RAJEEYAM,SURYANARYANA PAMPNA,A B S PUBLISHERS,RAJAHMUNDRY,615,122,,,,https://manjulindia.com/telugu.html
TEL,వస్తు గుణ దీపిక,VASTHU GUNA DEEPIKA,VENKATASWAMI ERRA,A B S PUBLISHERS,RAJAHMUNDRY,615,1143,,,,https://manjulindia.com/telugu.html
TEL,ప్రాధమిక జ్యోతిష్యము,Pరాధా RADHAMIKA JYOTISHYAMU,సిద్ధాంతం సత్యనారాయణ SATYANARAYANA SIDDANTHI M,A G PUBLICATIONS,TENALI,133,109,,,,https://manjulindia.com/telugu.html
TEL,సంపూర్ణ రామాయణం (నాటకం),SAMPURNA RAMAYANAM (NATAKAM),KRISHNAMUNI,A K V PRASADA RAO,RAJAHMUNDY,894,116,,,,https://manjulindia.com/telugu.html
TEL,నాయని సుబ్బారావు కృతులు పరిశీలన,NAYANI SUBBARAO KRUTULU PARISILANA,BHUMAYYA ANUMACHARLA,A LAKSHMI MURALIDHARAN,HANUMAKONDA,894,288,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ సాయిలీల గుచ్ఛం,SRI SAILEELA GUCCHAM,SAHAYACHARI NM,A MOHANARAO,GUNTUR,894,324,,,,https://manjulindia.com/telugu.html
TEL,రేఖా చిత్రాలు,REKHA CHITRALU,S V,A P ABHYUDAYA RACHAYITALA SANGHAM,HYDERA BAD,894,120,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రప్రదేశ్లో విద్యుచర్తి,ANDHRAPRADESHLO VIDYUCHRTHI,RAMACHANDRARAO AYYULA SOMAYAJULU,A P ACADEMY AND SONS,HYDEABAD,537,40,1932,,,https://manjulindia.com/telugu.html
TEL,అమరజీవి పొట్టి శ్రీ రాములు,AMARAJEEVI POTTI SRI RAMULU,RANGANADHA PURANAPANDA,A P BOOK DISTRIBUTORS,V IJAYAWADA,923,10,1891,,,https://manjulindia.com/telugu.html
TEL,వీణవంక,VEENAVANKA,KANAKAYYA GUNDEDAPPU,A P DALITHA RESEARCH CENTER,`HYDERABAD,894,38,1924,,,https://manjulindia.com/telugu.html
TEL,కడుపుమీద కొట్టకండి,KADUPUMEDA KOTTAKANDI,KANAKAYYA GUNDEDAPPU,A P DALITHA RESEARCH CENTER,HYDERA BAD,894,65,1975,,,https://manjulindia.com/telugu.html
TEL,గీతా గోవిందము,GEETA GOVINDAMU,JAYADEVA,A P ORIENTALMANU TRUST,HYDEABAD,891,101,,,,https://manjulindia.com/telugu.html
TEL,సింహగిరి వచనములు,SIMHAGIRI VACHANAMULU,KRISHNAMACHARYA,A P SAAHITYA ACADEMY,HYDERABAD,894,48,1940,,,https://manjulindia.com/telugu.html
TEL,కృష్ణరాయ విజయము,KRISHNARAYA VIJAYAMU,KUMARA DHURJATI,A P SAAHITYA ACADEMY,HYDERABAD,894,107,,,,https://manjulindia.com/telugu.html
TEL,రామవాచకము,RAMAVACHAKAMU,RAMACHANDRARAO C V,A P SAAHITYA ACADEMY,HYDERABAD,894,107,,,,https://manjulindia.com/telugu.html
TEL,చంద్రికా పరిణయము,CHANDRIKA PARINAYAMU,MADHAVARAYA SURABHI,A P SAAHITYA ACADEMY,HYDERABAD,894,231,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ రంగ మహత్యము,SRI RANGA MAHATHYAMU,BHAIRAVA KAVI,A P SAAHITYA ACADEMY,HYDERABAD,894,263,,,,https://manjulindia.com/telugu.html
TEL,తాలకనందిని పరిణయము,THALAKA NANDINI PARINAYAMU,VENKATANARASIMHACHARYA ASURIMARIMGANTI,A P SAAHITYA ACADEMY,HYDERABAD,894,389,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ హర్ష నైషదము,SRI HARSHA NAISHADAMU,SUBBARAMA SASTRI UDALI,A P SAAHITYA ACADEMY,HYDERABAD,891,463,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రుల జానపద విజ్ఞానం,ANDHRULA JANAPADA VIGNANAM,SUNDARAM RVS,A P SAAHITYA ACADEMY,HYDERABAD,398,532,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రుల జానపద విజ్ఞానం,ANDHRULA JANAPADHA VIGNANAM,SUNDARAM RVS,A P SAAHITYA ACADEMY,HYDERABAD,398,532,,,,https://manjulindia.com/telugu.html
TEL,జాతక కధలు,JATHAKA KADHALU,SIVASANKARASASTRI,A P SAAHITYA ACADEMY,HYDERABAD,294,316,,,,https://manjulindia.com/telugu.html
