"r no ","ACCESSION_NO","LANG_CODE","పుస్తకం పేరు ","బుక్ నేమ్ ","రచయిత ","పబ్లిషర్ ","PLACE_OF_PUB","PAGINATION","ITEM_RUPEES","YEAR_OF_PUB"
"1","10000","TEL","(అమెరికా ) కాయ పండా ","(AMERICA ) KAYA PAPNDA","RAMARAO VISWANADHA","VISALANDHRA BOOK HOUSE","VIJAYAWADA","973","112","40"
"2","10001","TEL","(సైన్స్ యూనివర్స్ ) ప్రజారాజ్యం","(SCIENCE UNIVERSE) PRAJARAJYAM","GURUVISWA SPURTHI","SCIENCE UNIVERSE","HYDEARABAD","302.5","274","90"
"3","10002","TEL","(తెలుగు అకాడెమీ) ఆంధ్రప్రదేశ్ ఆర్ధిక వ్యవస్థ అబివృద్ధి","(TELUGU ACADEMY) ANDHRAPRADESH ARDHIKA VYAVASTHA ABIVRUDDHI","SUNDARARAO ACHARYAMOPIDEVI","TELUGU  ACADAMI","HYDEABAD","001.076","623","160"
"4","10003","TEL","ద్యాస భారతము - నన్నయ్య పరిష్కారము ","`DYASA BHARATAMU- NANNAYYA PARISHKARAMU","MRUTYUMJAIRAO JONNALAGADDA","SMT J SAKUNTANTALA","RAZOLE","894.82711201","790","50"
"5","10004","TEL","నీటి కధ ","`NEETI KADHA","BARDWAJ RAVURI","SOWMYA PUBLICATIONS","MACHALIPATNAM","894.82732","39","6"
"6","10005","TEL","1 బి ఏ భారతదేశ చరిత్ర క్రీ.శ .1526 వరకు టిఎం ","1 BA BHARATADESA CHARITRA KREE.SA 1526 VARAKU","VENKATESWARAREDDY D","TELUGU  ACADAMI","HYDERABAD","954","327","85"
"7","10006","TEL","1 బి ఏ  రాజనీతిశాస్త్రం బవలు,సిద్దాంతలు, సంస్థలు టిఎం ","1 BA RAJANEETHI SASTRAM BAVALU SIDDANTALU SAMSTALU TM","MUSALAYYA J","TELUGU  ACADAMI","HYDERABAD","352","412","110"
"8","10007","TEL","1 బి ఏ - సూక్ష్మ అర్ధశాస్త్రం టిఎం ","1 BA- SOOKSHMA ARDHASASTRAM TM","MURTHY ARK","TELUGU  ACADAMI","HYDERABAD","330","339","90"
"9","10008","TEL","1 ఇంటర్ భూగోళశాస్త్రం టిఎం ","1 INTER BHOOGOLASASTRAM TM","MADHAVARAO VINNAKOTA","TELUGU  ACADAMI","HYDERABAD","909","196","55"
"10","10009","TEL","1 ఇంటర్ భౌతికశాస్త్రం టిఎం ","1 INTER BHOUTIKASASTRAM TM","ANDHRADEV K","TELUGU  ACADAMI","HYDERABAD","500","638","170"
"11","10010","TEL","1 నుండి 9 వరకు ట్రాన్సిస్టెర్ రేడియో ","1 NUNDI 9 VARAKU TRANSISTER REDIO","MINNANU","BALAJI PUBLICATIONS","మద్రాస్","894.8273841","91","3.5"
"12","10011","TEL","1+1=1 మొదలైన నాటికలు ","1+1=1 MODALAINA NATIKALU","శ్రీ శ్రీ SRI SRI","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","894.82724","134","6"
"13","10012","TEL","1+1=1 మొదలైన రేడియో నాటికలు ","1+1=1 MODALAINA REDIO NATIKALU","శ్రీ శ్రీ SRI SRI","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","894.82724","164","10"
"14","10013","TEL","1+1=1 మొదలైన రేడియో నాటికలు ","1+1=1 MODALAINA REDIYO NATAKALU","శ్రీ శ్రీ SRI SRI","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","894.82724","134","6"
"21","10020","TEL","1001 జోకేశ్ ","1001 JOKES","SRINIVAS KRISHNA D","NAVARATNA BOOK CENTER","V IJAYAWADA","808.08","184","35"
"22","10021","TEL","1001 జోక్స్ నవ్వండోయ్ నవ్వండి ","1001 JOKES NAVVANDOY NAVANDI","SRINIVASAKRISHNA D","NAVA RATNA BOOK CENTER","VIJAYAWADA","808.887","184","30"
"23","10022","TEL","1001 వింతలు విచిత్రాలు ","1001 VINTALU VICHITRALU","SRINIVAS KRISHNA DV","NAVARATNA PUBLICATIONS","VIJAYAWADA","808.887","135","35"
"24","10023","TEL","101 సైన్స్ గేమ్స్ ","101 SCIENCE GAMES","IAVAR YUSHIYAL","PUSTAK MAHAL","DELHI","500","101","15"
"27","10026","TEL","101 తెలుగు వ్యాసములు ","101 TELUGU VYASAMULU","SEETA KUMARI K","J P PUBLICATIONS","V IJAYAWADA","894.4","207","50"
"32","10031","TEL","10 వ తరగతి బౌతీక రసాయన శాస్త్రం ","10VA TARAGATHI BOTHIKA RASAYANA SASTRAM","SENKARARO MUPRALA","VIJMAM PUBLISHERS","GUNTUR","530.076","21","32"
"33","10032","TEL","10 వ తరగతి బౌతీక రసాయన శాస్త్రం ","10VA TARAGATHI BOTIKA RASAYANA SASTRAM","SANKARARAO MUPPALLA","VIJMAM PUBLISHERS","GUNTUR","530.076","21","37"
"36","10035","TEL","10వ తరగతి జీవశాస్త్రం ","10VA TARAGATHI JEEVASASTRAM","RAMESH BABU G","VIJMAM PUBLISHERS","GUNTUR","574.076","200","35"
"37","10036","TEL","10వ తరగతి సాంఘీక శాస్త్రము ","10VA TARAGATHI SANGEEKASASTRAMU","RAMESH BABU G","VIJMAM PUBLISHERS","GUNTUR","300.76","286","38"
"42","10041","TEL","11 ఇంటర్ భౌతికశాస్త్రం టిఎం ","11 INTER BHOUTIKASASTRAM TM","ANDHRADEV K","TELUGU  ACADAMI","HYDERABAD","500","589","155"
"43","10042","TEL","110 సంవత్సరాల గ్రహస్థుడ పట్టకు ","110 SAMVATSARALA  GRAHASTUDA PATTAKU","VENKATARAMAN BENGULURU","RUSHI PRACHRANALU","VIJAYAWADA","133.5","217","65"
"44","10043","TEL","111 బిఎస్సి రసాయనశాస్త్రం పేపర్ 3 టిఎం ","111 B.SC RASAYANA SASTRAM PAPER 3 TM","BRAHMAJEERAO S","TELUGU  ACADAMI","HYDERABAD","540","356","95"
"45","10044","TEL","111 బిఎస్సి రసాయనశాస్త్రము టిఎం ","111 BSC RASAYANASASTRAMU TM","BRAHMAJEERAO S","TELUGU  ACADAMI","HYDERABAD","540","358","95"
"46","10045","TEL","15 16 శతాబ్దాల తెలుగు సాహిత్యంలో సంగీత గద్య ప్రబందాలు ","15 16 SATABDALA TELUGU SAHITYAMLO SANGEETHA GADYA PRABANDALU","VIJAYLAKSHMI C","C VIJAYALAKSHMI","HYDERA BAD 660","894.827131","102","20"
"48","10047","TEL","15 16 శతాబ్దాల తెలుగుసాహిత్యంలో సంగీత గద్యప్రభంధం ","15 16 SATHABDHALA TELUGU SAHITYAMLO SANGEETHA GADYAPRABHANDAALU","VIJAYALAKSHMI","BHAKTHI VEDANTHA BOOK TRUST","HYDERABAD","894.827101","101","20"
